,date,open,high,low,close,volumn,tic,openinterest,day
0,2017-12-20,99.71,99.94,98.46,89.57,3091000,AXP,0,2
1,2017-12-21,99.05,99.19,98.37,89.56,2339500,AXP,0,3
2,2017-12-22,98.47,99.04,98.21,89.78,1980300,AXP,0,4
3,2017-12-26,98.8,98.92,98.13,89.62,1575200,AXP,0,1
4,2017-12-27,98.9,99.25,98.57,90.13,2569900,AXP,0,2
5,2017-12-28,99.64,99.91,99.36,90.65,1914900,AXP,0,3
6,2017-12-29,100.0,100.25,99.26,90.3,2056800,AXP,0,4
7,2018-01-02,99.73,99.73,98.22,89.96,2746700,AXP,0,1
8,2018-01-03,99.24,99.76,99.02,90.51,2976400,AXP,0,2
9,2018-01-04,100.03,101.65,99.91,92.02,3122000,AXP,0,3
10,2018-01-05,100.85,101.08,100.27,92.23,2550300,AXP,0,4
11,2018-01-08,101.0,101.2,100.12,91.38,1896500,AXP,0,0
12,2018-01-09,100.36,100.8,100.27,91.72,2978500,AXP,0,1
13,2018-01-10,100.39,101.59,100.33,92.36,2279200,AXP,0,2
14,2018-01-11,101.44,101.44,100.2,91.91,2745400,AXP,0,3
15,2018-01-12,100.86,101.03,99.93,92.13,3231500,AXP,0,4
16,2018-01-16,102.01,102.39,100.15,91.55,3814000,AXP,0,1
17,2018-01-17,100.99,101.0,99.24,91.94,4469700,AXP,0,2
18,2018-01-18,100.84,100.84,99.58,91.12,5290700,AXP,0,3
19,2018-01-19,97.01,98.94,96.35,89.45,12306000,AXP,0,4
20,2018-01-22,97.26,98.34,96.84,89.71,4983600,AXP,0,0
21,2018-01-23,98.16,98.4,97.44,89.4,4375200,AXP,0,1
22,2018-01-24,98.25,99.51,98.16,90.6,4949500,AXP,0,2
23,2018-01-25,99.43,100.11,99.2,90.96,3375200,AXP,0,3
24,2018-01-26,99.85,99.95,98.95,90.91,3668700,AXP,0,4
25,2018-01-29,99.75,100.18,99.23,90.71,3472100,AXP,0,0
26,2018-01-30,99.45,100.1,98.69,90.07,3466500,AXP,0,1
27,2018-01-31,98.74,99.71,98.5,90.7,3202900,AXP,0,2
28,2018-02-01,98.95,100.04,98.4,91.24,2952100,AXP,0,3
29,2018-02-02,99.53,99.69,96.64,88.21,4663300,AXP,0,4
30,2018-02-05,95.83,96.72,88.61,83.95,6421900,AXP,0,0
